Symbol,Synonym Symbol,Scientific Name with Author,Common Name,Family
DAFE2,,Dalea feayi (Chapm.) Barneby,Feay's prairie clover,Fabaceae
DAFE2,PEFE5,Petalostemon feayi Chapm.,,
DAFI,,Dalea filiformis A. Gray,Sonoran prairie clover,Fabaceae
DAFL,,Dalea flavescens (S. Watson) S.L. Welsh,Canyonlands prairie clover,Fabaceae
DAFL,DAEP,Dalea epica S.L. Welsh,,
DAFL,DAFLE,Dalea flavescens (S. Watson) S.L. Welsh var. epica (S.L. Welsh) Chatterley,,
DAFL,PEFL9,Petalostemon flavescens S. Watson,,
DAFO,,Dalea formosa Torr.,featherplume,Fabaceae
DAFO,PAFO6,Parosela formosa (Torr.) Vail,,
DAFO2,,Dalea foliosa (A. Gray) Barneby,leafy prairie clover,Fabaceae
DAFO2,PEFO5,Petalostemon foliosus A. Gray,,
DAFR2,,Dalea frutescens A. Gray,black prairie clover,Fabaceae
DAFR2,DAFRL,Dalea frutescens A. Gray var. laxa B.L. Turner,,
DAFR5,,Dacrydium franklinii Hook. f.,Huon pine,Podocarpaceae
DAFR6,,Dasiphora fruticosa (L.) Rydb.,shrubby cinquefoil,Rosaceae
DAFR6,POFR4,Potentilla fruticosa L.,,
DAFRF,,Dasiphora fruticosa (L.) Rydb. ssp. floribunda (Pursh) Kartesz,shrubby cinquefoil,Rosaceae
DAFRF,DAFL3,Dasiphora floribunda (Pursh) Raf.,,
DAFRF,DAFR3,Dasiphora fruticosa auct. non (L.) Rydb.,,
DAFRF,PEFL15,"Pentaphylloides floribunda (Pursh) Ã. LÃ¶ve, nom. illeg.",,
DAFRF,PEFR10,Pentaphylloides fruticosa auct. non (L.) O. Schwarz,,
DAFRF,POFL13,Potentilla floribunda Pursh,,
DAFRF,POFRF,Potentilla fruticosa L. ssp. floribunda (Pursh) Elkington,,
DAFRF,POFRF4,Potentilla fruticosa L. var. farreri Besant,,
DAFRF,POFRT,Potentilla fruticosa L. var. tenuifolia Lehm.,,
DAGA,,Dalea gattingeri (A. Heller) Barneby,purpletassels,Fabaceae
DAGA,PEGA6,Petalostemon gattingeri (A. Heller) A. Heller,,
DAGE,,Dactyloctenium germinatum Hack.,Sudan crowfoot grass,Poaceae
DAGI,,Dactyloctenium giganteum B.S. Fisher & Schweick.,,Poaceae
DAGL,,Dactylis glomerata L.,orchardgrass,Poaceae
DAGL2,,Datisca glomerata (C. Presl) Baill.,Durango root,Datiscaceae
DAGL5,,Dactylospora glaucomarioides (Willey ex Tuck.) Hafellner,dactylospora lichen,Dactylosporaceae
DAGL5,BUGL4,Buellia glaucomarioides Willey ex Tuck.,,
DAGLA,,Dactylis glomerata L. ssp. aschersoniana (Graebn.) Thell.,Ascherson's orchardgrass,Poaceae
DAGLA,DAAS,Dactylis aschersoniana Graebn.,,
DAGLG,,Dactylis glomerata L. ssp. glomerata,orchardgrass,Poaceae
DAGLG,DAGLC,Dactylis glomerata L. var. ciliata Peterm.,,
DAGLG,DAGLD,Dactylis glomerata L. var. detonsa Fr.,,
DAGLG,DAGLV,Dactylis glomerata L. var. vivipara Parl.,,
DAGLH2,,Dactylis glomerata L. ssp. himalayensis Domin,,Poaceae
DAGLH3,,Dactylis glomerata L. ssp. hispanica (Roth) Nyman,,Poaceae
DAGLL2,,Dactylis glomerata L. ssp. lusitanica Stebbins & D. Zohary,,Poaceae
DAGLL3,,Dactylis glomerata L. ssp. lobata (Drejer) H. Lindb.,,Poaceae
DAGLL3,DAGLP3,Dactylis glomerata L. ssp. polygama (Horv.) Domin,,
DAGLL3,DAPO5,Dactylis polygama Horv.,,
DAGLS2,,Dactylis glomerata L. ssp. smithii (Link) Stebbins & D. Zohary,,Poaceae
DAGLW2,,Dactylis glomerata L. ssp. woronowii (Ovcz.) Stebbins & D. Zohary,,Poaceae
DAGR,,Dalea grayi (Vail) L.O. Williams,Gray's prairie clover,Fabaceae
DAGR2,,Dalea greggii A. Gray,Gregg's prairie clover,Fabaceae
DAHA,,Dalea hallii A. Gray,Hall's prairie clover,Fabaceae
DAHE,,Dasylirion heteracanthum I.M. Johnst.,Trans-Pecos sotol,Liliaceae
DAHE2,,Daphnopsis helleriana Urb.,Heller's cieneguillo,Thymelaeaceae
DAHLI,,Dahlia Cav.,dahlia,Asteraceae
DAHO,,Dacampia hookeri (Borrer) A. Massal.,,Dacampiaceae
DAIN,,Danthonia intermedia Vasey,timber oatgrass,Poaceae
DAIN,DACA11,Danthonia canadensis Baum & Findlay,,
DAIN,DAINC,Danthonia intermedia Vasey var. cusickii T.A. Williams,,
DAIN2,,Datura inoxia Mill.,pricklyburr,Solanaceae
DAIN2,DAFA,Datura fastuosa auct. non L.,,
DAIN2,DAIN5,"Datura innoxia Mill., orth. var.",,
DAIN2,DAME,Datura metel auct. non L.,,
DAIN2,DAME2,Datura meteloides auct. non Dunal. p.p.,,
DAIN3,,Dactylospora inquilina (Tuck.) Hafellner,dactylospora lichen,Dactylosporaceae
DAIN3,BUIN2,Buellia inquilina Tuck.,,
DAIN3,BUIN4,Buelliella inquilina (Tuck.) Fink,,
DAIN7,,Datura inermis Jacq. [excluded],smoooth thorn-apple,Solanaceae
DAIN8,,Damnacanthus indicus C.F. Gaertn.,,Rubiaceae
DAIN9,,Dactylorhiza incarnata (L.) SoÃ³ [excluded],,Orchidaceae
DAJA,,Dalea jamesii (Torr.) Torr. & A. Gray,James' prairie clover,Fabaceae
DAJA2,,Danaea jamaicensis Underw.,Jamaican danafern,Marattiaceae
DAJE,,Danaea jenmanii Underw.,Puerto Rico danafern,Marattiaceae
DAKY,,Datura kymatocarpa Barclay,datura,Solanaceae
DALA,,Dalea lachnostachys A. Gray,glandleaf prairie clover,Fabaceae
DALA11,,Daphne laureola L.,spurgelaurel,Thymelaeaceae
DALA12,,Dalbergia latifolia Roxb.,Indian rosewood,Fabaceae
DALA3,,Dalea lanata Spreng.,woolly prairie clover,Fabaceae
DALA4,,Dalea lasiathera A. Gray,purple dalea,Fabaceae
DALA5,,Daucosma laciniata Engelm. & A. Gray,meadow parasol,Apiaceae
DALA6,,Dalea laniceps Barneby,woollyhead prairie clover,Fabaceae
DALAL,,Dalea lanata Spreng. var. lanata,woolly prairie clover,Fabaceae
DALAL,PALA20,Parosela lanata (Spreng.) Britton,,
DALAT,,Dalea lanata Spreng. var. terminalis (M.E. Jones) Barneby,woolly prairie clover,Fabaceae
DALAT,DAGL3,Dalea glaberrima S. Watson,,
DALAT,DATE8,Dalea terminalis M.E. Jones,,
DALBE,,Dalbergia L. f.,Indian rosewood,Fabaceae
DALE2,,Dasylirion leiophyllum Engelm. ex Trel.,green sotol,Liliaceae
DALE3,,Dalea leporina (Aiton) Bullock,foxtail prairie clover,Fabaceae
DALE3,DAAL4,Dalea alopecuroides Willd.,,
DALE3,DALA8,Dalea lagopus (Cav.) Willd.,,
DALE3,PAAL16,Parosela alopecuroides (Willd.) Rydb.,,
DALE5,,Datura leichhardtii F. Muell. ex Benth.,Leichhardt's datura,Solanaceae
DALEA,,Dalea L.,prairie clover,Fabaceae
DALEC,,Dalechampia L.,dalechampia,Euphorbiaceae
DALIB,,Dalibarda L.,dalibarda,Rosaceae
DALO3,,Dactylospora lobariella (Nyl.) Hafellner,dactylospora lichen,Dactylosporaceae
DALO3,BUNU,Buelliella nuttallii (Calk. & Nyl.) Fink,,
DALTO,,Daltonia Hook. & Taylor,daltonia moss,Daltoniaceae
DALU,,Dalea lumholtzii B.L. Rob. & Fernald,Lumholtz's prairie clover,Fabaceae
DAMA,,Dasistoma macrophylla (Nutt.) Raf.,mullein foxglove,Scrophulariaceae
DAMA,AFMA,Afzelia macrophylla (Nutt.) Kuntze,,
DAMA,SEMA10,Seymeria macrophylla Nutt.,,
DAMA3,,Dactylis marina Borrill,,Poaceae
DAMA4,,Dactylorhiza majalis (Rchb. f.) P.F. Hunt & Summerhayes,keyflower,Orchidaceae
DAMA60,,Dactylina madreporiformis (Ach.) Tuck.,dactylina lichen,Parmeliaceae
DAMA60,DUMA2,Dufourea madreporiformis (Ach.) Ach.,,
DAMAJ,,Dactylorhiza majalis (Rchb. f.) P.F. Hunt & Summerhayes ssp. praetermissa (Druce) D.M. Moore & SoÃ³ var. junialis (Verm.) Senghas,keyflower,Orchidaceae
DAMAP,,Dactylorhiza majalis (Rchb. f.) P.F. Hunt & Summerhayes ssp. praetermissa (Druce) D.M. Moore & SoÃ³,keyflower,Orchidaceae
DAMAP2,,Dactylorhiza majalis (Rchb. f.) P.F. Hunt & Summerhayes ssp. praetermissa (Druce) D.M. Moore & SoÃ³ var. praetermissa,keyflower,Orchidaceae
DAMAS,,Damasonium Hill,damasonium,Alismataceae
DAME3,,Daphne mezereum L.,paradise plant,Thymelaeaceae
DAME6,,Dalea mexiae Barneby [excluded],,Fabaceae
DAMNA,,Damnacanthus C.F. Gaertn.,,Rubiaceae
DAMO,,Dalea mollis Benth.,hairy prairie clover,Fabaceae
DAMO2,,Dalea mollissima (Rydb.) Munz,soft prairie clover,Fabaceae
DAMO2,DAMOM,Dalea mollis Benth. var. mollissima (Rydb.) Munz,,
DAMO2,DANEM,Dalea neomexicana (A. Gray) Cory ssp. mollissima (Rydb.) Wiggins,,
DAMO3,,Dalbergia monetaria L. f.,moneybush,Fabaceae
DAMO3,SEVO,Securidaca volubilis L.,,
DAMO4,,Dalea mountjoyae M. Woods,whitetassels,Fabaceae
DAMO4,DACAG,Dalea carnea (Michx.) Poir. var. gracilis (Nutt.) Barneby,,
DAMO4,DAGR6,"Dalea gracilis (Nutt.) D.B. Ward, nom. illeg.",,
DAMO4,PEGR17,Petalostemon gracilis Nutt.,,
DAMU,,Dalea multiflora (Nutt.) Shinners,roundhead prairie clover,Fabaceae
DAMU,PEMU12,Petalostemon multiflorus Nutt.,,
DANA,,Dalea nana Torr. ex A. Gray,dwarf prairie clover,Fabaceae
DANAC,,Dalea nana Torr. ex A. Gray var. carnescens Kearney & Peebles,dwarf prairie clover,Fabaceae
DANAC,DANAE2,Dalea nana Torr. ex A. Gray var. elatior A. Gray ex B.L. Turner,,
DANAE,,Danaea Sm.,danafern,Marattiaceae
DANAN,,Dalea nana Torr. ex A. Gray var. nana,dwarf prairie clover,Fabaceae
DANAN,PANA4,Parosela nana (Torr. ex A. Gray) A. Heller,,
DANE,,Dalea neomexicana (A. Gray) Cory,downy prairie clover,Fabaceae
DANEL,,Dalea neomexicana (A. Gray) Cory var. longipila (Rydb.) Barneby,downy prairie clover,Fabaceae
DANEL,DALO2,Dalea longipila (Rydb.) Cory,,
DANEN,,Dalea neomexicana (A. Gray) Cory var. neomexicana,downy prairie clover,Fabaceae
DANIE,,Daniellia Benn.,daniellia,Fabaceae
DANO,,Danaea nodosa (L.) Sm.,nodeless danafern,Marattiaceae
DANTH,,Danthonia DC.,oatgrass,Poaceae
DANTH2,,Danthoniopsis Stapf,,Poaceae
DAOB,,Dalea obovata (Torr. & A. Gray) Shinners,pussyfoot,Fabaceae
DAOB,PEOB5,Petalostemon obovatus Torr. & A. Gray,,
DAOG,,Daniellia ogea (Harms) Rolfe ex Holland,gum copal tree,Fabaceae
DAOL,,Daniellia oliveri (Rolfe) Hutch. & Dalziel,African copaiba balsam tree,Fabaceae
DAPA2,,Danthonia parryi Scribn.,Parry's oatgrass,Poaceae
DAPA6,,Dactylospora parasitica (FlÃ¶rke ex Spreng.) Zopf,parasitic dactylospora lichen,Dactylosporaceae
DAPA6,LEIN27,Leciographa inspersa (Tul.) Rehm.,,
DAPA6,LEPA35,Leciographa parasitica A. Massal.,,
DAPA7,,Dalbergia palauensis Hosok.,dalbergia,Fabaceae
DAPA8,,Dactylospora parellaria (Nyl.) Arnold,,Dactylosporaceae
DAPE,,Darmera peltata (Torr. ex Benth.) Voss,Indian rhubarb,Saxifragaceae
DAPE,PEPE2,Peltiphyllum peltatum (Torr. ex Benth.) Engl.,,
DAPE,SAPE19,Saxifraga peltata Torr. ex Benth.,,
DAPE3,,Dactylospora pertusariicola (Willey ex Tuck.) Hafellner,dactylospora lichen,Dactylosporaceae
DAPE3,BUPE2,Buellia pertusariicola Willey ex Tuck.,,
DAPE3,LEPE25,Leciographa pertusariicola (Willey ex Tuck.) Fink,,
DAPH,,Daphnopsis philippiana Krug & Urb.,emajagua de sierra,Thymelaeaceae
DAPH2,,Dalea phleoides (Torr. & A. Gray) Shinners,slimspike prairie clover,Fabaceae
DAPHM,,Dalea phleoides (Torr. & A. Gray) Shinners var. microphylla (Torr. & A. Gray) Barneby,slimspike prairie clover,Fabaceae
DAPHM,DADR,Dalea drummondiana Shinners,,
DAPHM,PEMI14,Petalostemon microphyllus (Torr. & A. Gray) A. Heller,,
DAPHM,PEPHM,Petalostemon phleoides Torr. & A. Gray var. microphyllus (Torr. & A. Gray) Barneby,,
DAPHN,,Daphnopsis Mart.,daphnopsis,Thymelaeaceae
DAPHN2,,Daphne L.,daphne,Thymelaeaceae
DAPHP,,Dalea phleoides (Torr. & A. Gray) Shinners var. phleoides,slimspike prairie clover,Fabaceae
DAPHP,PEGL15,Petalostemon glandulosus J.M. Coult. & Fisher,,
DAPHP,PEPH3,Petalostemon phleoides Torr. & A. Gray,,
DAPI2,,Dalea pinnata (J.F. Gmel.) Barneby,summer farewell,Fabaceae
DAPI3,,Dahlia pinnata Cav.,pinnate dahlia,Asteraceae
DAPI3,DARO,Dahlia rosea Cav.,,
DAPIP,,Dalea pinnata (J.F. Gmel.) Barneby var. pinnata,summer farewell,Fabaceae
DAPIP,KUPI,Kuhnistera pinnata (J.F. Gmel.) Kuntze,,
DAPIP,PECA23,Petalostemon caroliniensis (Lam.) Sprague,,
DAPIP,PEPI5,Petalostemon pinnatus (J.F. Gmel.) S.F. Blake,,
DAPIT,,Dalea pinnata (J.F. Gmel.) Barneby var. trifoliata (Chapm.) Barneby,summer farewell,Fabaceae
DAPIT,PEPIT,Petalostemon pinnatus (J.F. Gmel.) S.F. Blake ssp. trifoliatus (Chapm.) Wemple,,
DAPO,,Dalea pogonathera A. Gray,bearded prairie clover,Fabaceae
DAPO3,,Dalea polygonoides A. Gray,sixweeks prairie clover,Fabaceae
DAPO3,DAPOA,Dalea polygonoides A. Gray var. anomala (M.E. Jones) Morton,,
DAPOP,,Dalea pogonathera A. Gray var. pogonathera,bearded prairie clover,Fabaceae
DAPOW,,Dalea pogonathera A. Gray var. walkerae (Tharp & F.A. Barkley) B.L. Turner,Walker prairie clover,Fabaceae
DAPR,,Dalea pringlei A. Gray,Pringle's prairie clover,Fabaceae
DAPR2,,Datura pruinosa Greenman,datura,Solanaceae
DAPR4,,Danthoniopsis pruinosa C.E. Hubb.,,Poaceae
DAPU4,,Dalea pulchra Gentry,Santa Catalina prairie clover,Fabaceae
DAPU7,,Dasyochloa pulchella (Kunth) Willd. ex Rydb.,low woollygrass,Poaceae
DAPU7,ERPU8,Erioneuron pulchellum (Kunth) Tateoka,,
DAPU7,TRPU10,Tridens pulchellus (Kunth) Hitchc.,,
DAPU7,TRPU9,Triodia pulchella Kunth,,
DAPU9,,Dactylospora purpurascens Triebel,dactylospora lichen,Dactylosporaceae
DAPUA,,Dalea purpurea Vent. var. arenicola (Wemple) Barneby,purple prairie clover,Fabaceae
DAPUA,PEAR9,Petalostemon arenicola Wemple,,
DAPUP,,Dalea purpurea Vent. var. purpurea,purple prairie clover,Fabaceae
DAPUP,PEMO9,Petalostemon mollis Rydb.,,
DAPUP,PEPU15,Petalostemon purpureus (Vent.) Rydb.,,
DAPUP,PEPUM,Petalostemon purpureus (Vent.) Rydb. var. mollis (Rydb.) B. Boivin,,
DAQU,,Datura quercifolia Kunth,Chinese thorn-apple,Solanaceae
DAQU,DAFE,Datura ferox auct. non L.,,
DARA2,,Dactyloctenium radulans (R. Br.) P. Beauv.,buttongrass,Poaceae
DARA2,ELRA6,Eleusine radulans R. Br.,,
DARA60,,Dactylina ramulosa (Hook.) Tuck.,dactylina lichen,Parmeliaceae
DARE,,Dalibarda repens L.,robin runaway,Rosaceae
DARE,RUDA4,Rubus dalibarda L.,,
DARE,RURE4,Rubus repens (L.) Kuntze,,
DARE2,,Dalea reverchonii (S. Watson) Shinners,Comanche Peak prairie clover,Fabaceae
DARE2,PERE9,Petalostemon reverchonii S. Watson,,
DARE4,,Datura reburra Barclay,datura,Solanaceae
DARLI,,Darlingtonia Torr.,California pitcherplant,Sarraceniaceae
DARME,,Darmera Voss,darmera,Saxifragaceae
DASA,,Dalea sabinalis (S. Watson) Shinners,sabinal prairie clover,Fabaceae
DASA,PESA14,Petalostemon sabinalis S. Watson,,
DASA4,,Dactylospora saxatilis (Schaerer) Hafellner,dactylospora lichen,Dactylosporaceae
DASAS,,Dactylospora saxatilis (Schaerer) Hafellner var. saxatilis,dactylospora lichen,Dactylosporaceae
DASAS,BUSA5,Buelliella saxatilis (Schaerer) Fink,,
DASC3,,Dalea scandens (Mill.) R.T. Clausen,low prairie clover,Fabaceae
DASC4,,Dalea scariosa S. Watson,Albuquerque prairie clover,Fabaceae
DASC4,PEPR8,Petalostemon prostratus Wooton & Standl.,,
DASC4,PESC6,Petalostemon scariosus (S. Watson) Wemple,,
DASC5,,Dalechampia scandens L.,spurgecreeper,Euphorbiaceae
DASCP,,Dalea scandens (Mill.) R.T. Clausen var. paucifolia (J.M. Coult.) Barneby,low prairie clover,Fabaceae
DASCP,DATH4,Dalea thyrsiflora A. Gray,,
DASE2,,Danthonia sericea Nutt.,downy danthonia,Poaceae
DASI,,Dalbergia sissoo Roxb. ex DC.,Indian rosewood,Fabaceae
DASIP,,Dasiphora Raf.,shrubby cinquefoil,Rosaceae
DASIS,,Dasistoma Raf.,dasistoma,Scrophulariaceae
DASO,,Davallia solida (J.R. Forst.) Sw.,,Davalliaceae
DASP2,,Danthonia spicata (L.) P. Beauv. ex Roem. & Schult.,poverty oatgrass,Poaceae
DASP2,DASPL,Danthonia spicata (L.) P. Beauv. ex Roem. & Schult. var. longipila Scribn. & Merr.,,
DASP2,DASPP,Danthonia spicata (L.) P. Beauv. ex Roem. & Schult. var. pinetorum Piper,,
DASP2,DATH3,Danthonia thermalis Scribn.,,
DASP4,,Daltonia splachnoides (Sm.) Hook. & Taylor,daltonia moss,Daltoniaceae
DAST,,Datura stramonium L.,jimsonweed,Solanaceae
DAST,DASTT,Datura stramonium L. var. tatula (L.) Torr.,,
DAST,DATA,Datura tatula L.,,
DASYL,,Dasylirion Zucc.,sotol,Liliaceae
DASYN,,Dasynotus I.M. Johnst.,whitethroat,Boraginaceae
DASYO,,Dasyochloa Willd. ex Rydb.,woollygrass,Poaceae
DASYP,,Dasypyrum (Coss. & Durieu) T. Dur.,mosquitograss,Poaceae
DATE3,,Dasylirion texanum Scheele,Texas sotol,Liliaceae
DATE4,,Dalea tentaculoides Gentry,Gentry's indigobush,Fabaceae
DATE5,,Dalea tenuifolia (A. Gray) Shinners,slimleaf prairie clover,Fabaceae
DATE5,PETE16,Petalostemon tenuifolius A. Gray,,
DATE6,,Dalea tenuis (J.M. Coult.) Shinners,pinkglobe prairie clover,Fabaceae
DATE6,PEST10,Petalostemon stanfieldii Small,,
DATE6,PETE13,Petalostemon tenuis (J.M. Coult.) A. Heller,,
DATH6,,Daniellia thurifera Benn.,Niger copal tree,Fabaceae
DATIS,,Datisca L.,datisca,Datiscaceae
DATU,,Dalbergia tucurensis Donn. Sm.,dalbergia,Fabaceae
DATU,DACU3,Dalbergia cubilquitzensis (J.D. Sm) Pittier,,
DATUR,,Datura L.,jimsonweed,Solanaceae
DAUCO,,Daucosma Engelm. & A. Gray ex A. Gray,daucosma,Apiaceae
DAUCU,,Daucus L.,wild carrot,Apiaceae
DAUN,,Danthonia unispicata (Thurb.) Munro ex Macoun,onespike danthonia,Poaceae
DAUR,,Dalea urceolata Greene,pineforest prairie clover,Fabaceae
DAUR2,,Danaea urbanii Maxon,forest danafern,Marattiaceae
DAUR3,,Dactylospora urceolata (Th. Fr.) Arnold,urceolate dactylospora lichen,Dactylosporaceae
DAUR3,LEUR2,Leciographa urceolata (Th. Fr.) Rehm,,
DAVAL,,Davallia Sm.,,Davalliaceae
DAVE,,Dalea versicolor Zucc.,oakwoods prairie clover,Fabaceae
DAVEG2,,Dalea versicolor Zucc. var. glabrescens (Rydb.) Barneby [excluded],,Fabaceae
DAVEG2,DAWI2,Dalea wislizeni A. Gray,,
DAVES,,Dalea versicolor Zucc. var. sessilis (A. Gray) Barneby,oakwoods prairie clover,Fabaceae
DAVES,DAWIS,Dalea wislizeni A. Gray ssp. sessilis (A. Gray) H.C. Gentry,,
DAVES,DAWIS2,Dalea wislizeni A. Gray var. sanctae-crucis (Rydb.) Kearney & Peebles,,
DAVEV,,Dalea versicolor Zucc. var. versicolor,oakwoods prairie clover,Fabaceae
DAVI2,,Dasypyrum villosum (L.) Coss. & Durieu ex P. Candargy,mosquitograss,Poaceae
DAVI2,AGVI10,Agropyron villosum (L.) Link,,
DAVI2,HAVI5,Haynaldia villosa (L.) Schur,,
DAVI5,,Dalea virgata Lag.,,Fabaceae
DAVI5,DAOA,Dalea oaxacana (Rose) Bullock,,
DAVI6,,"Dactylorhiza viridis (L.) R.M. Bateman, A.M. Pridgeon & M.W. Chase",longbract frog orchid,Orchidaceae
DAVI6,COBR3,Coeloglossum bracteatum (Muhl. ex Willd.) Parl.,,
DAVI6,COVI6,Coeloglossum viride (L.) Hartm.,,
DAVI6,COVIB3,Coeloglossum viride (L.) Hartm. ssp. bracteatum (Muhl. ex Willd.) HultÃ©n,,
DAVI6,COVII,Coeloglossum viride (L.) Hartm. var. islandicum (Lindl.) M. Schulze,,
DAVI6,COVIV,Coeloglossum viride (L.) Hartm. var. virescens (Muhl. ex Willd.) Luer,,
DAVI6,COVIV2,Coeloglossum viride (L.) Hartm. var. viride,,
DAVI6,HABR7,Habenaria bracteata (Muhl. ex Willd.) R. Br.,,
DAVI6,HAVI7,Habenaria viridis (L.) R. Br.,,
DAVI6,HAVIB2,Habenaria viridis (L.) R. Br. var. bracteata (Muhl. ex Willd.) Rchb. ex A. Gray,,
DAVI6,HAVII,Habenaria viridis (L.) R. Br. var. interjecta Fernald,,
DAVIG,,Dalea villosa (Nutt.) Spreng. var. grisea (Torr. & A. Gray) Barneby,silky prairie clover,Fabaceae
DAVIG,PEGR19,Petalostemon griseus Torr. & A. Gray,,
DAVIV,,Dalea villosa (Nutt.) Spreng. var. villosa,silky prairie clover,Fabaceae
DAVIV,PEVI12,Petalostemon villosus Nutt.,,
DAWH2,,Dasylirion wheeleri S. Watson,common sotol,Liliaceae
DAWR,,Dalea wrightii A. Gray,Wright's prairie clover,Fabaceae
DAWR2,,Datura wrightii Regel,sacred thorn-apple,Solanaceae
DAWR2,DAINQ,Datura inoxia Mill. ssp. quinquecuspida (Torr.) Barcl.,,
DAWR2,DAMEQ,Datura metel L. var. quinquecuspida Torr.,,
DAWRW,,Dalea wrightii A. Gray var. wrightii ,,Fabaceae
DAWRW2,,Dalea wrightii A. Gray var. warnockii (Tharp & F.A. Barkley) B.L. Turner,Warnock's prairie clover,Fabaceae
DEAB,,Dendroalsia abietina (Hook.) E. Britton,dendroalsia moss,Leucodontaceae
DEAC3,,Desmanthus acuminatus Benth.,wild tantan,Fabaceae
DEAC3,DEVIA,Desmanthus virgatus (L.) Willd. var. acuminatus (Benth.) Isely,,
DEAC4,,Deparia acrostichoides (Sw.) M. Kato,silver false spleenwort,Dryopteridaceae
DEAC4,ATTH,Athyrium thelypterioides (Michx.) Desv.,,
DEAC4,DIAC4,Diplazium acrostichoides (Sw.) Butters,,
DEAD,,Desmodium adscendens (Sw.) DC.,zarzabacoa galana,Fabaceae
DEAD,DEOV2,Desmodium ovalifolium Guill. & Perr.,,
DEAD,MEAD2,Meibomia adscendens (Sw.) Kuntze,,
DEAF,,Desmodium affine Schltdl.,amor seco,Fabaceae
DEAF,MEAF3,Meibomia affinis (Schltdl.) Kuntze,,
DEAL,,Delphinium alpestre Rydb.,Colorado larkspur,Ranunculaceae
DEAL,DERAA,Delphinium ramosum Rydb. var. alpestre (Rydb.) W.A. Weber,,
DEAL2,,Delphinium alabamicum Kral,Alabama larkspur,Ranunculaceae
DEAL5,,Dendrographa alectoroides Sundin & Tehler,,Roccellaceae
DEAL6,,Deschampsia alpina (L.) Roem. & Schult.,hairgrass,Poaceae
DEAL6,DECEA5,Deschampsia cespitosa (L.) P. Beauv. ssp. alpina (L.) Tzvelev,,
DEAM4,,Deeringia amaranthoides (Lam.) Merr.,,Amaranthaceae
DEAN,,Delphinium andersonii A. Gray,Anderson's larkspur,Ranunculaceae
DEAN,DEANC,Delphinium andersonii A. Gray ssp. cognatum (Greene) Ewan,,
DEAN,DEANC2,Delphinium andersonii A. Gray var. cognatum (Greene) R.J. Davis,,
DEAN,DECO7,Delphinium cognatum Greene,,
DEAN,DEXY,Delphinium xylorrhizum Rydb.,,
DEAN2,,Delphinium andesicola Ewan,Chiricahua Mountain larkspur,Ranunculaceae
DEAN2,DEANA,Delphinium andesicola Ewan ssp. amplum (Ewan) Ewan,,
DEAN2,DESIA,Delphinium sierrae-blancae Wooton ssp. amplum Ewan,,
DEAN5,,Delphinium antoninum Eastw.,Tracy's larkspur,Ranunculaceae
DEAN7,,Desmodium angustifolium (Kunth) DC. [excluded],,Fabaceae
DEAN7,MEAN8,Meibomia angustifolia (Kunth) Kuntze,,
DEAP3,,Desmodium aparines (Link) DC.,,Fabaceae
DEAR,,Dendropanax arboreus (L.) Decne. & Planch. ex Britton,angelica tree,Araliaceae
DEAR2,,Desmodium arizonicum S. Watson,Arizona ticktrefoil,Fabaceae
DEAR2,MEAR12,Meibomia arizonica (S. Watson) Vail,,
DEAR60,,Dermatocarpon arnoldianum Degel.,Arnold's silverskin lichen,Verrucariaceae
DEAR8,,Deinandra arida (D.D. Keck) B.G. Baldw.,Red Rock tarweed,Asteraceae
DEAR8,HEAR4,Hemizonia arida D.D. Keck,,
DEAS,,Dendrocalamus asper (Schult. f.) Backer ex Heyne,giant bamboo,Poaceae
DEAX,,Desmodium axillare (Sw.) DC.,zarzabacoa de monte,Fabaceae
DEAXA,,Desmodium axillare (Sw.) DC. var. acutifolium (Kuntze) Urb.,zarzabacoa de monte,Fabaceae
DEAXA,MEUM4,Meibomia umbrosa Britton,,
DEAXA2,,Desmodium axillare (Sw.) DC. var. axillare,zarzabacoa de monte,Fabaceae
DEAXA2,DEAXO,Desmodium axillare (Sw.) DC. var. obtusifolium (Kuntze) Urb.,,
DEAXA2,MEAX,Meibomia axillaris (Sw.) Kuntze,,
DEAXA2,MEAXO,Meibomia axillaris (Sw.) Kuntze var. obtusifolia Kuntze,,
DEAXS,,Desmodium axillare (Sw.) DC. var. stoloniferum (Rich. ex Poir.) B.G. Schub.,zarzabacoa de monte,Fabaceae
DEAXS,DEAXS2,Desmodium axillare (Sw.) DC. var. sintenisii Urb.,,
DEAXS,MESI3,Meibomia sintenisii (Urb.) Britton,,
DEBA,,Delphinium bakeri Ewan,Baker's delphinium,Ranunculaceae
DEBA10,,Deinandra bacigalupii B.G. Baldw.,Livermore tarweed,Asteraceae
DEBA2,,Delphinium barbeyi (Huth) Huth,subalpine larkspur,Ranunculaceae
DEBA2,DEEXB,Delphinium exaltatum Aiton var. barbeyi Huth,,
DEBA2,DEOCB,Delphinium occidentale (S. Watson) S. Watson var. barbeyi (Huth) S.L. Welsh,,
DEBA3,,Desmodium batocaulon A. Gray,San Pedro ticktrefoil,Fabaceae
DEBA3,MEBA6,Meibomia batocaulis (A. Gray) Kuntze,,
DEBA4,,Decumaria barbara L.,woodvamp,Hydrangeaceae
DEBA5,,Desmodium barbatum (L.) Benth.,zarzabacoa peluda,Fabaceae
DEBA5,MEBA5,Meibomia barbata (L.) Kuntze,,
