COMMON_NAME,GENUS,SPECIESp,TreeSpecies
European ash,Fraxinus,excelsior,FREX80
Caucasian ash,Fraxinus,oxycarpa,FROX
rose glorybower,Clerodendrum,bungei,CLBU
mountain sweetpepperbush,Clethra,acuminata,CLAC3
bladder senna,Colutea,arborescens,COAR6
kousa dogwood,Cornus,kousa,COKO2
American hazelnut,Corylus,americana,COAM3
Turkish hazelnut,Corylus,colurna,COCO30
European smoketree,Cotinus,coggygria,COCO10
storehousebush,Cudrania,tricuspidata,CUTR2
Leyland cypress,Cupressocyparis,leylandii,CULE2
quince,Cydonia,oblonga,CYOB2
burningbush,Euonymus,alatus,EUAL13
European beech,Fagus,sylvatica,FASY
mulga,Acacia,aneura,ACAN10
auri,Acacia,auriculiformis,ACAU
small Philippine acacia,Acacia,confusa,ACCO
koa,Acacia,koa,ACKO
koaoha,Acacia,koaia,ACKO2
black wattle,Acacia,mearnsii,ACME80
blackwood,Acacia,melanoxylon,ACME
South Wales wattle,Acacia,parramattensis,ACPA81
beadtree,Adenanthera,spp.,ADENA
Titimel,Aglaia,mariannensis,AGMA14
mesecheues,Aglaia,palauensis,AGPA19
"karasyu, marasau",Aglaia,ponapensis,AGPO4
laga ali,Aglaia,samoensis,AGSA9
Aglaia,Aglaia,spp.,AGLAI
Olomea,Aidia,cochinchinensis,AICO2
Aidia racemosa,Aidia,racemosa,AIRA2
ailanthus,Ailanthus,spp.,AILAN
Chinese albizia,Albizia,chinensis,ALCH2
ukall ra ngebard,Albizia,falcataria,ALFA5
ukall ra ngebard,Albizia,retusa,ALRE
whiteflower albizia,Albizia,saponaria,ALSA10
albizia,Albizia,spp.,ALBIZ
Hawaii alectryon,Alectryon,macrococcus,ALMA
alectryon,Alectryon,spp.,ALECT
aleurites,Aleurites,spp.,ALEUR
lumbang,Aleurites,trisperma,ALTR11
largeleaf rosemallow,Hibiscus,macrophyllus,HIMA5
Dixie rosemallow,Hibiscus,mutabilis,HIMU3
rosemallow,Hibiscus,spp.,HIBIS2
white Kauai rosemallow,Hibiscus,waimeae,HIWA
Homalium whitmeeanum,Homalium,whitmeeanum,HOWH
"chemeklachel, eumail",Horsfieldia,amklaal,HOAM2
ersachel,Horsfieldia,novoguineensis,HONO2
Horsfieldia nunu,Horsfieldia,nunu,HONU2
chersachel,Horsfieldia,palauensis,HOPA10
Horsfieldia,Horsfieldia,spp.,HORSF2
Japanese raisintree,Hovenia,dulcis,HODU2
nightblooming cactus,Hylocereus,spp.,HYLOC
nightblooming cactus,Hylocereus,undatus,HYUN3
Canary Island St. Johnswort,Hypericum,canariense,HYCA11
Hawaii holly,Ilex,anomala,ILAN
English holly,Ilex,aquifolium,ILAQ80
mate,Ilex,paraguariensis,ILPA3
ifi,Inocarpus,fagifer,INFA3
ifilele,Intsia,bijuga,INBI
jacaranda,Jacaranda,spp.,JACAR
Molokai treecotton,Kokia,cookei,KOCO2
Hawaii treecotton,Kokia,drynarioides,KODR
Kauai treecotton,Kokia,kauaiensis,KOKA
Wailupe Valley treecotton,Kokia,lanceolata,KOLA2
treecotton,Kokia,spp.,KOKIA
burgan,Kunzea,ericoides,KUER
Kunzea,Kunzea,spp.,KUNZE
summit labordia,Labordia,fagraeoidea,LAFA2
bog labordia,Labordia,hedyosmifolia,LAHE2
mountain labordia,Labordia,hirtella,LAHI5
Waianae Range labordia,Labordia,kaalae,LAKA
Wahiawa Mountain labordia,Labordia,lydgatei,LALY2
glorytree,Tibouchina,spp.,TIBOU
princess-flower,Tibouchina,urvilleana,TIUR
Timonius corymbosus,Timonius,corymbosus,TICO7
Timonius mollis,Timonius,mollis,TIMO4
Timonius,Timonius,spp.,TIMON
Timonius subauritus,Timonius,subauritus,TISU3
Timonius timon,Timonius,timon,TITI
littleleaf linden,Tilia,cordata,TICO2
Silver linden,Tilia,tomentosa,TITO
olona,Touchardia,latifolia,TOLA
touchardia,Touchardia,spp.,TOUCH
velvetleaf soldierbush,Tournefortia,argentea,TOAR2
soldierbush,Tournefortia,spp.,TOURN
magele,Trema,cannabina,TRCA33
poison sumac,Toxicodendron,vernix,TOVE
oriental trema,Trema,orientalis,TROR
trema,Trema,spp.,TREMA
Trichospermum ikutai,Trichospermum,ikutai,TRIK
"elsau, oleiulakersus",Trichospermum,ledermannii,TRLE8
maouli,Trichospermum,richii,TRRI9
faia,Tristiropsis,obtusangula,TROB7
English elm,Ulmus,procera,ULPR
hopue,Urera,glabra,URGL
opuhe,Urera,kaalae,URKA
urera,Urera,spp.,URERA
Mexican buckeye,Ungnadia,speciosa,UNSP
Manila palm,Veitchia,merrillii,VEME3
mu oil tree,Vernicia,montana,VEMO3
vernicia,Vernicia,spp.,VERNI
"bars, beokel",Vitex,cofassus,VICO17
smallflower chastetree,Vitex,parviflora,VIPA6
chastetree,Vitex,spp.,VITEX
simpleleaf chastetree,Vitex,trifolia,VITR7
nannyberry,Viburnum,lentago,VILE
blackhaw,Viburnum,prunifolium,VIPR
Siebold's arrowwood,Viburnum,sieboldii,VISI
Allophylus,Allophylus,spp.,ALLOP
chebeludes,Allophylus,ternatus,ALTE13
"ebeludes, chebeludes",Allophylus,timorensis,ALTI2
Nepal alder,Alnus,nepalensis,ALNE2
"chelebiob, elebiong",Alphitonia,carolinensis,ALCA21
Hawaii kauilatree,Alphitonia,ponderosa,ALPO3
Alphitonia,Alphitonia,spp.,ALPHI
toi,Alphitonia,zizyphoides,ALZI
deviltree,Alstonia,macrophylla,ALMA16
Alstonia pacifica,Alstonia,pacifica,ALPA22
alstonia,Alstonia,spp.,ALSTO
Anacolosa insularis,Anacolosa,insularis,ANIN13
dermarm,Angiopteris,evecta,ANEV
Annona,Annona,spp.,ANNON
Kapua china laurel,Antidesma,kapuae,ANKA
Antidesma kusaiense,Antidesma,kusaiense,ANKU3
ha a,Antidesma,platyphyllum,ANPL2
Antidesma ponapense,Antidesma,ponapense,ANPO8
hame,Antidesma,pulvinatum,ANPU2
Antidesma sphaerocarpum,Antidesma,sphaerocarpum,ANSP14
chinalaurel,Antidesma,spp.,ANTID
Antirhea inconspicua,Antirhea,inconspicua,ANIN2
New Caledonia pine,Araucaria,columnaris,ARCO32
Norfolk Island Pine,Araucaria,excelsa,AREX4
Araucaria,Araucaria,spp.,ARAUC2
Alexandra palm,Archontophoenix,alexandrae,ARAL
shoebutton,Ardisia,elliptica,AREL4
nettlespurge,Jatropha,spp.,JATRO
English walnut,Juglans,regia,JURE80
ketoguit,Kayea,pacifica,KAPA4
labordia,Labordia,spp.,LABOR
paleflower labordia,Labordia,tinifolia,LATI2
Lanai labordia,Labordia,triflora,LATR4
Nevada peavine,Labordia,waiolani,LAWA3
golden chain tree,Laburnum,anagyroides,LAAN2
Langsat,Lansium,domesticum,LADO2
bluelatan,Latania,loddigesii,LALO
large-leaf yellow teatree,Leptospermum,morrisonii,LEMO20
common teatree,Leptospermum,petersonii,LEPE23
common teatree,Leptospermum,polygalifolim,LEPO22
broom teatree,Leptospermum,scoparium,LESC2
teatree,Leptospermum,spp.,LEPTO4
Leucaena insularum,Leucaena,insularum,LEIN31
leadtree,Leucaena,spp.,LEUCA
littleleaf leadtree,Leucaena,retusa,LERE5
privet,Ligustrum,spp.,LIGUS2
California privet,Ligustrum,ovalifolium,LIOV
southern spicebush,Lindera,melissifolia,LIME7
Lychee,Litchi,chinensis,LICH4
papaono,Litsea,samoensis,LISA8
Litsea,Litsea,spp.,LITSE
fountain palm,Livistona,chinensis,LICH3
California fan palm,Washingtonia,filifera,WAFI
ateate,Wedelia,biflora,WEBI
Washington fan palm,Washingtonia,robusta,WARO
Weinmannia affinis,Weinmannia,affinis,WEAF
alpine false ohelo,Wikstroemia,bicornuta,WIBI
forest false ohelo,Wikstroemia,furcata,WIFU
montane false ohelo,Wikstroemia,monticola,WIMO
Oahu false ohelo,Wikstroemia,oahuensis,WIOA
Hawaii false ohelo,Wikstroemia,phillyreifolia,WIPH2
Kohala false ohelo,Wikstroemia,pulcherrima,WIPU
variableleaf false ohelo,Wikstroemia,sandwicensis,WISA
Skottsbergs false ohelo,Wikstroemia,skottsbergiana,WISK
false ohelo,Wikstroemia,spp.,WIKST
hairy false ohelo,Wikstroemia,villosa,WIVI
lalanyog,Xylocarpus,granatum,XYGR
leilei,Xylocarpus,moluccensis,XYMO2
Xylocarpus,Xylocarpus,spp.,XYLOC2
sawtooth logwood,Xylosma,crenata,XYCR
Hawaii brushholly,Xylosma,hawaiiensis,XYHA
Xylosma nelsonii,Xylosma,nelsonii,XYNE2
Xylosma samoensis,Xylosma,samoensis,XYSA
mission manzanita,Xylococcus,bicolor,XYBI
xylosma,Xylosma,spp.,XYLOS
kawau,Zanthoxylum,dipetalum,ZADI
Hawaii pricklyash,Zanthoxylum,hawaiiense,ZAHA
Kauai pricklyash,Zanthoxylum,kauaense,ZAKA
Oahu pricklyash,Zanthoxylum,oahuense,ZAOA
pricklyash,Zanthoxylum,spp.,ZANTH
common pricklyash,Zanthoxylum,americanum,ZAAM
common jujube,Ziziphus,zizyphus,ZIZI
marlberry,Ardisia,spp.,ARDIS
betelnut,Areca,catechu,ARCA41
cabo-negro,Arenga,pinnata,ARPI6
"dugdug, Marianas breadfruit",Artocarpus,mariannensis,ARMA28
Artocarpus nobilis,Artocarpus,nobilis,ARNO
Marang,Artocarpus,odoratissimus,AROD2
meduu,Artocarpus,spp.,ARTOC
taputoi,Arytera,brackenridgei,ARBR11
afia,Ascarina,diffusa,ASDI14
Astronidium navigatorum,Astronidium,navigatorum,ASNA10
meskui,Astronidium,palauense,ASPA37
Astronidium pickeringii,Astronidium,pickeringii,ASPI11
Astronidium samoense,Astronidium,samoense,ASSA23
Astronidium,Astronidium,spp.,ASTRO4
Astronidium subcordata,Astronidium,subcordata,ASSU31
ifi ifi,Atuna,racemosa,ATRA2
Bilimbi,Averrhoa,bilimbi,AVBI
Averrhoa,Averrhoa,spp.,AVERR
biut,Avicennia,alba,AVAL
Avicennia marina,Avicennia,marina,AVMA3
Avicennia,Avicennia,spp.,AVICE
Saitamu,Baccaurea,taitensis,BATA
European larch,Larix,decidua,LADE2
ralm,Badusa,palauensis,BAPA8
bamboo,Bambusa,spp.,BAMBU
langaasag,Barringtonia,racemosa,BARA5
falaga,Barringtonia,samoensis,BASA9
Barringtonia,Barringtonia,spp.,BARRI
Bauhinia binata,Bauhinia,binata,BABI6
bauhinia,Bauhinia,spp.,BAUHI
bog spicebush,Lindera,subcoriacea,LISU8
Javanese bishopwood,Bischofia,javanica,BIJA
bishopwood,Bischofia,spp.,BISCH
bixa,Bixa,spp.,BIXA
Texasplume,Bauhinia,lunarioides,BALU
akupa,Bobea,brevipes,BOBR3
ahakea lau nui,Bobea,elatior,BOEL3
Hawaii dogweed,Bobea,sandwicensis,BOSA2
ahakea,Bobea,spp.,BOBEA
ahakea,Bobea,timonioides,BOTI
bocconia,Bocconia,spp.,BOCCO
virgata,Boehmeria,virgata,BOVI7
Amur honeysuckle,Lonicera,maackii,LOMA6
vinegartree,Lophostemon,confertus,LOCO9
Egg Fruit / Canistel,Lucuma,nervosa,LUNE4
"bakauaine, nana",Lumnitzera,littorea,LULI8
"macadamia nut tree, pengua",Macadamia,integrifolia,MAIN8
Macadamia,Macadamia,spp.,MACAD
Macadamia Nut,Macadamia,tetraphylla,MATE16
bedel,Macaranga,carolinensis,MACA25
Macaranga grayana,Macaranga,grayana,MAGR
lau pata,Macaranga,harveyana,MAHA9
pengua,Macaranga,mappa,MAMA28
macaranga,Macaranga,spp.,MACAR
lau fatu,Macaranga,stipulosa,MAST7
parasol leaf tree,Macaranga,tanarius,MATA3
Macaranga thompsonii,Macaranga,thompsonii,MATH3
Mallotus palauensis,Mallotus,palauensis,MAPA6
kamala tree,Mallotus,philippensis,MAPH4
mallotus,Mallotus,spp.,MALLO
Mallotus tiliifolius,Mallotus,tiliifolius,MATI4
Siberian crab apple,Malus,baccata,MABA
Japanese flowering crab apple,Malus,floribunda,MAFL80
paradise apple,Malus,pumila,MAPU
manapau,Mammea,glauca,MAGL12
chopak,Mammea,odorata,MAOD2
Mammea,Mammea,spp.,MAMME
kanit,Mangifera,minor,MAMI3
saipan mango,Mangifera,odorata,MAOD
mango,Mangifera,spp.,MANGI
ceara rubbertree,Manihot,glaziovii,MAGL5
manihot,Manihot,spp.,MANIH
pani,Manilkara,dissecta,MADI14
kohle,Manilkara,hoshinoi,MAHO5
Manilkara,Manilkara,spp.,MANIL
udeuid,Manilkara,udoido,MAUD
"bkau, apgau",Maranthes,corymbosa,MACO
dermarm,Marattia,fraxinea,MAFR11
kanawao,Broussaisia,arguta,BRAR6
angels-trumpet,Brugmansia,candida,BRCA12
smallflower bruguiera,Bruguiera,parviflora,BRPA15
Oriental mangrove,Bruguiera,sexangula,BRSE11
bruguiera,Bruguiera,spp.,BRUGU
omail,Buchanania,engleriana,BUEN
gasu,Buchanania,merrillii,BUME4
"omail, deuachel",Buchanania,palawensis,BUPA16
Buchanania,Buchanania,spp.,BUCHA
dogtail,Buddleja,asiatica,BUAS
Burckella richii,Burckella,richii,BURI3
vitiensis,Chionanthus,vitiensis,CHVI22
Sakhalin spruce,Picea,glehnii,PIGL7
Serbian spruce,Picea,omorika,PIOM2
French plantain,Musa,paradisiaca,MUPA3
bungeltuu,Musa,coccinea,MUCO8
tama,Musa,nana,MUNA
tuu banana,Musa,sapientum,MUSA
uhiuhi,Caesalpinia,kavaiensis,CAKA5
tamanu,Calophyllum,neo-ebudicum,CANE31
chesemolech,Calophyllum,pelewense,CAPE15
"olebtaches, chesemolech",Calophyllum,soulattri,CASO12
calophyllum,Calophyllum,spp.,CALOP
calotropis,Calotropis,spp.,CALOT
luluhut,Maytenus,thompsonii,MATH4
Medusanthera carolinensis,Medusanthera,carolinensis,MECA21
matamo,Medusanthera,samoensis,MESA11
Medusanthera,Medusanthera,spp.,MEDUS2
melaleuca,Melaleuca,spp.,MELAL
alom,Melanolepis,multiglandulosa,MEMU10
Melastoma candidum,Melastoma,candidum,MECA9
Melastoma sanguineum,Melastoma,sanguineum,MESA3
melia,Melia,spp.,MELIA
mokihana,Melicope,anisata,MEAN3
Ballous melicope,Melicope,balloui,MEBA2
uahiapele,Melicope,barbigera,MEBA3
Waianae Range melicope,Melicope,christophersenii,MECH2
manena,Melicope,cinerea,MECI6
kukaemoa,Melicope,clusiifolia,MECL
piloula,Melicope,cruciata,MECR5
leiohiiaka,Melicope,elliptica,MEEL2
Haleakala melicope,Melicope,haleakalae,MEHA7
Haupa Mountain melicope,Melicope,haupuensis,MEHA3
mokihana kukae moa,Melicope,hawaiensis,MEHA4
Monoa melicope,Melicope,hiiakae,MEHI6
Honolulu melicope,Melicope,hosakae,MEHO2
Kaala melicope,Melicope,kaalaensis,MEKA2
Olokele Valley melicope,Melicope,knudsenii,MEKN
Kaholuamanu melicope,Melicope,macropus,MEMA6
Makaha Valley melicope,Melicope,makahae,MEMA7
Molokai melicope,Melicope,molokaiensis,MEMO6
alani,Melicope,mucronulata,MEMU4
Oahu melicope,Melicope,oahuensis,MEOA
Makawao melicope,Melicope,obovata,MEOB4
Honokahua melicope,Melicope,orbicularis,MEOR4
Hana melicope,Melicope,ovalis,MEOV
eggshape melicope,Melicope,ovata,MEOV2
pale melicope,Melicope,pallida,MEPA6
Lihue melicope,Melicope,paniculata,MEPA7
boxfruit alani,Melicope,peduncularis,MEPE9
Kohala Summit melicope,Melicope,pseudoanisata,MEPS
hairy melicope,Melicope,puberula,MEPU4
fourangle melicope,Melicope,quadrangularis,MEQU3
kapu melicope,Melicope,radiata,MERA2
soopini,Melicope,latifolia,MERE8
roundleaf melicope,Melicope,rotundifolia,MERO3
St. Johns melicope,Melicope,saint-johnii,MESA4
Mt. Kaala melicope,Melicope,sandwicensis,MESA5
melicope,Melicope,spp.,MELIC3
volcanic melicope,Melicope,volcanica,MEVO
alani wai,Melicope,waialealae,MEWA2
Monoa melicope,Melicope,wawraeana,MEWA4
kipuka piaula,Melicope,zahlbruckneri,MEZA
samoensis,Melicytus,samoensis,MESA9
mao,Melochia,aristata,MEAR16
melochia,Melochia,spp.,MELOC
hierba del soldado,Melochia,umbellata,MEUM3
sayafe,Melochia,villosissima var compacta,MEVIC4
"kelela charm, kiu",Campnosperma,brevipetiolatum,CABR18
mafoa,Canarium,mafoa,CAHA39
mesecheues,Canarium,hirsutum,CAHI14
lukerr,Canarium,indicum,CAIN42
Pili Nut,Canarium,ovatum,CAOV7
Canarium,Canarium,spp.,CANAR2
maali,Canarium,vitiense,CAVI26
Olasina,Psydrax,merrillii,CAME35
papaya,Carica,spp.,CARIC
scorpionbush,Carmona,retusa,CARE22
scorpionbush,Carmona,spp.,CARMO
fish tail palm,Caryota,mitis,CAMI36
Caryota,Caryota,spp.,CARYO
fishtail palm,Caryota,urens,CAUR3
keuert,Casearia,cauliflora,CACA28
Casearia,Casearia,spp.,CASEA
kassod tree,Cassia,siamea,CASI4
Cassia,Cassia,spp.,CASSI
"gagu,australian pine",Casuarina,litorea,CALI8
catberry,Ilex,mucronata,ILMU
trumpet tree,Cecropia,obtusifolia,CEOB
pumpwood,Cecropia,spp.,CECRO
faniok,Merrilliodendron,megacarpum,MEME12
fagufagu,Meryta,macrophylla,MEMA16
omechidel,Meryta,senfftiana,MESE11
Meryta,Meryta,spp.,MERYT
dawn redwood,Metasequoia,glyptostroboides,MEGL8
collina,Metrosideros,collina,MEPOP2
ohia,Metrosideros,macropus,MEMA4
ohia lehua,Metrosideros,polymorpha,MEPO5
lehua papa,Metrosideros,rugosa,MERU2
lehua,Metrosideros,spp.,METRO
lehua ahihi,Metrosideros,tremuloides,METR5
Kauai bottlebrush,Metrosideros,waialealae,MEWA
ivory-nut palm,Metroxylon,amicarum,MEAM4
sago palm,Metroxylon,sagu,MESA7
Metroxylon,Metroxylon,spp.,METRO2
Orange Champak,Michelia,champaca,MICH4
velvet tree,Miconia,calvescens,MICA20
talafulu,Micromelum,minutum,MIMI23
pinnata,Millettia,pinnata,MIPI9
"bulletwood, elengi",Mimusops,elengi,MIEL4
treedaisy,Montanoa,hibiscifolia,MOHI
montanoa,Montanoa,spp.,MONTA
firetree,Morella,faya,MOFA
bayberry,Morella,spp.,MOREL2
ngel,Morinda,latibractea,MOLA12
Morinda pedunculata,Morinda,pedunculata,MOPE2
morinda,Morinda,spp.,MORIN
noni kuahiwi,Morinda,trimera,MOTR
falseohe,Munroidendron,racemosum,MURA3
muntingia,Muntingia,spp.,MUNTI
Celtis paniculata,Celtis,paniculata,CEPA6
chuti,Cerbera,dilatata,CEDI12
emeridech,Cerbera,floribunda,CEFL2
leva,Cerbera,manghas,CEMA20
chiute,Cerbera,odollam,CEOD2
Cerbera spp,Cerbera,spp,CERBE
sweetpotato cactus,Cereus,spp.,CEREU
biut,Ceriops,tagal,CETA2
orange jessamine,Cestrum,aurantiacum,CEAU2
jessamine,Cestrum,spp.,CESTR
Knowlton's hophornbeam,Ostrya,knowltonii,OSKN
koko,Chamaesyce,atrococca,CHAT2
ekoko,Chamaesyce,celastroides,CHCE
Herbsts sandmat,Chamaesyce,herbstii,CHHE3
kokomalei,Chamaesyce,kuwaleana,CHKU
alpine sandmat,Chamaesyce,olowaluana,CHOL3
Koolau Range sandmat,Chamaesyce,rockii,CHRO2
sandmat,Chamaesyce,spp.,CHAMA15
Napali coast papala,Charpentiera,densiflora,CHDE3
ellipticleaf papala,Charpentiera,elliptica,CHEL
broadleaf papala,Charpentiera,obovata,CHOB2
Koolau Range papala,Charpentiera,ovata,CHOV2
papala,Charpentiera,spp.,CHARP
Waianae Range papala,Charpentiera,tomentosa,CHTO3
Domins club,Cheirodendron,dominii,CHDO3
Fauries club,Cheirodendron,fauriei,CHFA
olapa,Cheirodendron,forbesii,CHFO4
lapalapa,Cheirodendron,platyphyllum,CHPL
swamp bay,Persea,palustris,PEPA37
cheirodendron,Cheirodendron,spp.,CHEIR
olapalapa,Cheirodendron,trigynum,CHTR2
Amur corktree,Phellodendron,amurense,PHAM2
alaweo,Chenopodium,oahuense,CHOA
goosefoot,Chenopodium,spp.,CHENO
meia,Musa,spp.,MUSA2
blantalos,Musa,textilis,MUTE6
tikap,Musa,tikap,MUTI
fei banana,Musa,troglodytarum,MUTR2
Mussaenda frondosa,Mussaenda,frondosa,MUFR3
aloalo vao,Mussaenda,raiateensis,MURA5
Mussaenda,Mussaenda,spp.,MUSSA
naio,Myoporum,sandwicense,MYSA
myoporum,Myoporum,spp.,MYOPO
rodwood,Myrcia,spp.,MYRCI
"yamamomo, strawberry tree",Myrica,rubra,MYRU3
sweetgale,Myrica,spp.,MYRIC
atoneulu,Myristica,hypargyraea,MYHY2
adepurot,Myristica,insularis,MYIN3
Myristica,Myristica,spp.,MYRIS
Myristica inutilis,Myristica,inutilis,MYIN4
forest colicwood,Myrsine,alyxifolia,MYAL4
summit colicwood,Myrsine,degeneri,MYDE2
mountain colicwood,Myrsine,emarginata,MYEM
streambank colicwood,Myrsine,fernseei,MYFE
Koolau Range colicwood,Myrsine,fosbergii,MYFO
Wahiawa Bog colicwood,Myrsine,helleri,MYHE3
Kauai colicwood,Myrsine,kauaiensis,MYKA
Kokee colicwood,Myrsine,knudsenii,MYKN
Lanai colicwood,Myrsine,lanaiensis,MYLA3
kolea lau nui,Myrsine,lessertiana,MYLE2
Hanapepe River colicwood,Myrsine,mezii,MYME2
swamp colicwood,Myrsine,petiolata,MYPE3
Molokai colicwood,Myrsine,pukooensis,MYPU2
kokea lau lii,Myrsine,sandwicensis,MYSA2
colicwood,Myrsine,spp.,MYRSI
Mt. Kahili colicwood,Myrsine,wawraea,MYWA
fao,Neisosperma,oppositifolia,NEOP
afa,Neonauclea,forsteri,NEFO2
Rambutan,Nephelium,lappaceum,NELA7
Hawaiian tree fern,Cibotium,heleniae,CIHE7
Chamissos manfern,Cibotium,chamissoi,CICH
hapuu,Cibotium,glaucum,CIGL
hapuu li,Cibotium,menziesii,CIME8
manfern,Cibotium,spp.,CIBOT
quinine,Cinchona,pubescens,CIPU
cinchona,Cinchona,spp.,CINCH
Padang cassia,Cinnamomum,burmannii,CIBU2
ochod,Cinnamomum,carolinense,CICA2
ochod,Cinnamomum,pedatinervium,CIPE6
matieu,Cinnamomum,sessilifolium,CISE2
cinnamon,Cinnamomum,spp.,CINNA2
fiddlewood,Citharexylum,spp.,CITHA
samoensis,Citronella,samoensis,CISA2
Lime (Tipolo),Citrus,aurantifolia,CIAU
"grapefruit, kahet magas",Citrus,grandis,CIGR
limon china,Citrus,hystrix,CIHY2
"kahet, wild orange",Citrus,macroptera,CIMA10
"calamondin, kingkang",Citrus,mitis,CIMI3
koee,Claoxylon,carolinianum,CLCA15
Claoxylon fallax,Claoxylon,fallax,CLFA6
Claoxylon longiracemosum,Claoxylon,longiracemosum,CLLO5
"katteknau, katot",Claoxylon,marianum,CLMA25
poola,Claoxylon,sandwicense,CLSA
claoxylon,Claoxylon,spp.,CLAOX
Cleistanthus carolinianus,Cleistanthus,carolinianus,CLCA18
Cleistanthus insularis,Cleistanthus,insularis,CLIN8
Cleistanthus,Cleistanthus,spp.,CLEIS5
oha wai nui Clermontia,Clermontia,leptoclada,CLLE3
oha wai nui,Clermontia,arborescens,CLAR4
Kauai clermontia,Clermontia,clermontioides,CLCL
Kohala Mountain clermontia,Clermontia,drepanomorpha,CLDR2
haha aiakamanu,Clermontia,fauriei,CLFA
bog clermontia,Clermontia,grandiflora,CLGR3
oha kepau,Clermontia,hawaiiensis,CLHA4
forest clermontia,Clermontia,kakeana,CLKA
Waipio Valley clermontia,Clermontia,kohalae,CLKO
hillside clermontia,Clermontia,lindseyana,CLLI3
Maui clermontia,Clermontia,micrantha,CLMI3
Mauna Loa clermontia,Clermontia,montis-loa,CLMO5
Oahu clermontia,Clermontia,oblongifolia,CLOB2
Wailai Pali clermontia,Clermontia,pallida,CLPA6
smallflower clermontia,Clermontia,parviflora,CLPA8
pele clermontia,Clermontia,peleana,CLPE2
Waioiani clermontia,Clermontia,persicifolia,CLPE3
Hamakua clermontia,Clermontia,pyrularia,CLPY2
Clermontia singuliflora,Clermontia,singuliflora,CLSI3
clermontia,Clermontia,spp.,CLERM
Haleakala clermontia,Clermontia,tuberculata,CLTU2
swampforest clermontia,Clermontia,waimeae,CLWA2
maaloa,Neraudia,melastomifolia,NEME5
keahi,Nesoluma,polynesicum,NEPO
Hawaii olive,Nestegis,sandwicensis,NESA2
nestegis,Nestegis,spp.,NESTE
"kalm, aralm",Neuburgia,celebica,NECE
tree tobacco,Nicotiana,glauca,NIGL
tobacco,Nicotiana,spp.,NICOT
smallflower aiea,Nothocestrum,breviflorum,NOBR2
broadleaf aiea,Nothocestrum,latifolium,NOLA
longleaf aiea,Nothocestrum,longifolium,NOLO
Oahu aiea,Nothocestrum,peltatum,NOPE
aiea,Nothocestrum,spp.,NOTHO3
kaala rockwort,Nototrichium,humile,NOHU
Hawaii rockwort,Nototrichium,sandwicense,NOSA
"toechel, teuechel",Nypa,fruticans,NYFR2
ochna,Ochna,spp.,OCHNA
Thomas birds-eye bush,Ochna,thomasiana,OCTH
holei,Ochrosia,compta,OCCO
island yellowwood,Ochrosia,haleakalae,OCHA
Kauai yellowwood,Ochrosia,kauaiensis,OCKA
Hawaii yellowwood,Ochrosia,kilaueaensis,OCKI
yellowwood,Ochrosia,spp.,OCHRO2
langiti,Ochrosia,mariannensis,OCMA2
oleandra fern,Oleandra,neriiformis,OLNE
olive,Olea,europaea,OLEU
olive,Olea,spp.,OLEA
fanuamamala,Homalanthus,acuminatus,HOAC4
fanuamamala,Homalanthus,nutans,HONU3
Homalanthus,Homalanthus,spp.,HOMAL6
cochineal nopal cactus,Opuntia,cochenillifera,OPCO4
tuna cactus,Opuntia,ficus-indica,OPFI
common pricklypear,Opuntia,monacantha,OPMO5
pricklypear,Opuntia,spp.,OPUNT
"amansis, edebsungelked, necklace bead tree",Ormosia,calavensis,ORCA12
kesiamel,Osmoxylon,oliveri,OSOL
kesiamel,Osmoxylon,pachyphyllum,OSPA
Osmoxylon,Osmoxylon,spp.,OSMOX
"miich era ngebard, guiana chestnut",Pachira,aquatica,PAAQ2
gasu,Palaquium,stehlinii,PAST24
stickbush,Clerodendrum,chinense,CLCH4
Natal glorybower,Clerodendrum,glabrum,CLGL2
turks turbin,Clerodendrum,indicum,CLIN
velvetleaf glorybower,Clerodendrum,macrostegium,CLMA24
glorybower,Clerodendrum,spp.,CLERO2
attorney,Clusia,spp.,CLUSI
coconut palm,Cocos,spp.,COCOS
coffee,Coffea,spp.,COFFE
"uab, chuchab",Colona,scabra,COSC13
Asian nakedwood,Colubrina,asiatica,COAS3
kauila,Colubrina,oppositifolia,COOP
nakedwood,Colubrina,spp.,COLUB
ochaol,Combretum,tetralophum,COTE15
Mao,Commersonia,bartramia,COBA17
Japanese flowering cherry,Prunus,serrulata,PRSE3
mangrove,Conocarpus,spp.,CONOC
chertochet,Pandanus,aimiriikensis,PAAI
matal,Pandanus,cominsii,PACO51
ongor,Pandanus,compressus,PACO3
silaue,Pandanus,cylindricus,PACY10
kienpel,Pandanus,dilatatus,PADI2
ongor,Pandanus,divergens,PADI29
pahong,Pandanus,dubius,PADU3
ongor,Pandanus,duriocarpus,PADU4
moak,Pandanus,enchabiensis,PAEN
hara,Pandanus,fischerianus,PAFI
aggag,Pandanus,fragrans,PAFR7
nenketak,Pandanus,hosinoi,PAHO6
pacheren,Pandanus,jaluitensis,PAJA3
buuk,Pandanus,kanehirae,PAKA2
siu,Pandanus,korrensis,PAKO2
lakatwa,Pandanus,lakatwa,PALA3
"erwan, jonmouia",Pandanus,laticanaliculatus,PALA4
"intekul, pasyure",Pandanus,macrocephalus,PAMA3
"ongor, ertochet",Pandanus,macrojeanneretia,PAMA32
menne,Pandanus,menne,PAME18
